"Date";"Value"
"03/01/1990";1832
"03/02/1990";1860
"03/05/1990";1874
"03/06/1990";1872
"03/07/1990";1880
"03/08/1990";1917
"03/09/1990";1921
"03/12/1990";1912
"03/13/1990";1924
"03/14/1990";1946
"03/15/1990";1964
"03/16/1990";1958
"03/19/1990";1936
"03/20/1990";1925
"03/21/1990";1938
"03/22/1990";1914
"03/23/1990";1937
"03/26/1990";1964
"03/27/1990";1946
"03/28/1990";1939
"03/29/1990";1947
"03/30/1990";1972
"04/02/1990";1947
"04/03/1990";1985
"04/04/1990";2001
"04/05/1990";2028
"04/06/1990";2070
"04/09/1990";2083
"04/10/1990";2075
"04/11/1990";2103
"04/12/1990";2117
"04/17/1990";2126
"04/18/1990";2098
"04/19/1990";2097
"04/20/1990";2129
"04/23/1990";2090
"04/24/1990";2101
"04/25/1990";2092
"04/26/1990";2072
"04/27/1990";2066
"04/30/1990";2046
"05/02/1990";2066
"05/03/1990";2099
"05/04/1990";2099
"05/07/1990";2120
"05/09/1990";2103
"05/10/1990";2104
"05/11/1990";2092
"05/14/1990";2090
"05/15/1990";2070
"05/16/1990";2071
"05/17/1990";2104
"05/18/1990";2100
"05/21/1990";2092
"05/22/1990";2115
"05/23/1990";2123
"05/25/1990";2112
"05/28/1990";2114
"05/29/1990";2123
"05/30/1990";2121
"05/31/1990";2107
"06/01/1990";2087
"06/05/1990";2069
"06/06/1990";2045
"06/07/1990";2045
"06/08/1990";2021
"06/11/1990";2001
"06/12/1990";2006
"06/13/1990";2026
"06/14/1990";2028
"06/15/1990";2012
"06/18/1990";1988
"06/19/1990";2000
"06/20/1990";2004
"06/21/1990";2008
"06/22/1990";2032
"06/25/1990";2040
"06/26/1990";2053
"06/27/1990";2034
"06/28/1990";2038
"06/29/1990";2035
"07/02/1990";2035
"07/03/1990";2031
"07/04/1990";2032
"07/05/1990";2000
"07/06/1990";2002
"07/09/1990";2002
"07/10/1990";1963
"07/11/1990";1970
"07/12/1990";1975
"07/13/1990";1998
"07/16/1990";2015
"07/17/1990";2019
"07/18/1990";2029
"07/19/1990";2023
"07/20/1990";2031
"07/23/1990";1990
"07/24/1990";1995
"07/25/1990";1998
"07/26/1990";1984
"07/27/1990";1965
"07/30/1990";1955
"07/31/1990";1965
"08/01/1990";1960
"08/02/1990";1916
"08/03/1990";1869
"08/06/1990";1774
"08/07/1990";1812
"08/08/1990";1757
"08/09/1990";1780
"08/10/1990";1778
"08/13/1990";1721
"08/14/1990";1712
"08/16/1990";1723
"08/17/1990";1665
"08/20/1990";1611
"08/21/1990";1546
"08/22/1990";1586
"08/23/1990";1553
"08/24/1990";1617
"08/27/1990";1700
"08/28/1990";1680
"08/29/1990";1698
"08/30/1990";1723
"08/31/1990";1690
"09/03/1990";1644
"09/04/1990";1621
"09/05/1990";1638
"09/06/1990";1609
"09/07/1990";1619
"09/10/1990";1662
"09/11/1990";1654
"09/12/1990";1648
"09/13/1990";1646
"09/14/1990";1615
"09/17/1990";1604
"09/18/1990";1580
"09/19/1990";1570
"09/20/1990";1540
"09/21/1990";1543
"09/24/1990";1503
"09/25/1990";1485
"09/26/1990";1499
"09/27/1990";1524
"09/28/1990";1499
"10/01/1990";1541
"10/02/1990";1573
"10/03/1990";1567
"10/04/1990";1553
"10/05/1990";1552
"10/08/1990";1586
"10/09/1990";1551
"10/10/1990";1540
"10/11/1990";1542
"10/12/1990";1575
"10/15/1990";1599
"10/16/1990";1602
"10/17/1990";1616
"10/18/1990";1647
"10/19/1990";1644
"10/22/1990";1640
"10/23/1990";1676
"10/24/1990";1667
"10/25/1990";1646
"10/26/1990";1618
"10/29/1990";1628
"10/30/1990";1613
"10/31/1990";1645
"11/02/1990";1639
"11/05/1990";1620
"11/06/1990";1613
"11/07/1990";1583
"11/08/1990";1570
"11/09/1990";1573
"11/12/1990";1597
"11/13/1990";1610
"11/14/1990";1599
"11/15/1990";1598
"11/16/1990";1612
"11/19/1990";1633
"11/20/1990";1633
"11/21/1990";1627
"11/22/1990";1639
"11/23/1990";1640
"11/26/1990";1607
"11/27/1990";1606
"11/28/1990";1601
"11/29/1990";1607
"11/30/1990";1605
"12/03/1990";1645
"12/04/1990";1646
"12/05/1990";1660
"12/06/1990";1693
"12/07/1990";1691
"12/10/1990";1675
"12/11/1990";1665
"12/12/1990";1668
"12/13/1990";1659
"12/14/1990";1635
"12/17/1990";1606
"12/18/1990";1591
"12/19/1990";1589
"12/20/1990";1553
"12/21/1990";1564
"12/26/1990";1537
"12/27/1990";1529
