observation_date,DEULOLITONOSTSAM
1961-01-01,100.84660
1961-02-01,100.69230
1961-03-01,100.51910
1961-04-01,100.33820
1961-05-01,100.16570
1961-06-01,100.02460
1961-07-01,99.91451
1961-08-01,99.82996
1961-09-01,99.76566
1961-10-01,99.72577
1961-11-01,99.72247
1961-12-01,99.73952
1962-01-01,99.76120
1962-02-01,99.76884
1962-03-01,99.76752
1962-04-01,99.76188
1962-05-01,99.74014
1962-06-01,99.68548
1962-07-01,99.59759
1962-08-01,99.48317
1962-09-01,99.35069
1962-10-01,99.20352
1962-11-01,99.05945
1962-12-01,98.92874
1963-01-01,98.83437
1963-02-01,98.80105
1963-03-01,98.85310
1963-04-01,98.96011
1963-05-01,99.09486
1963-06-01,99.24375
1963-07-01,99.39210
1963-08-01,99.53616
1963-09-01,99.67786
1963-10-01,99.83472
1963-11-01,100.03630
1963-12-01,100.29040
1964-01-01,100.59120
1964-02-01,100.87940
1964-03-01,101.11840
1964-04-01,101.30220
1964-05-01,101.42940
1964-06-01,101.48960
1964-07-01,101.47990
1964-08-01,101.42300
1964-09-01,101.35120
1964-10-01,101.29020
1964-11-01,101.25680
1964-12-01,101.23970
1965-01-01,101.21190
1965-02-01,101.13840
1965-03-01,101.01990
1965-04-01,100.87870
1965-05-01,100.72780
1965-06-01,100.57030
1965-07-01,100.42490
1965-08-01,100.28860
1965-09-01,100.15400
1965-10-01,100.01350
1965-11-01,99.88911
1965-12-01,99.79562
1966-01-01,99.72008
1966-02-01,99.62046
1966-03-01,99.45846
1966-04-01,99.21587
1966-05-01,98.89565
1966-06-01,98.50827
1966-07-01,98.07306
1966-08-01,97.61302
1966-09-01,97.15875
1966-10-01,96.74760
1966-11-01,96.43748
1966-12-01,96.27245
1967-01-01,96.26035
1967-02-01,96.38698
1967-03-01,96.62324
1967-04-01,96.94395
1967-05-01,97.33158
1967-06-01,97.77080
1967-07-01,98.23871
1967-08-01,98.71239
1967-09-01,99.16124
1967-10-01,99.55453
1967-11-01,99.87470
1967-12-01,100.11890
1968-01-01,100.30630
1968-02-01,100.48900
1968-03-01,100.69510
1968-04-01,100.93520
1968-05-01,101.19890
1968-06-01,101.47120
1968-07-01,101.74130
1968-08-01,101.97780
1968-09-01,102.16560
1968-10-01,102.30940
1968-11-01,102.43590
1968-12-01,102.55510
1969-01-01,102.66740
1969-02-01,102.82380
1969-03-01,102.95950
1969-04-01,103.05950
