observation_date,FRALOLITONOSTSAM
1966-11-01,99.82153
1966-12-01,99.54844
1967-01-01,99.28378
1967-02-01,99.01906
1967-03-01,98.75162
1967-04-01,98.49348
1967-05-01,98.26476
1967-06-01,98.09464
1967-07-01,98.00847
1967-08-01,98.01595
1967-09-01,98.09869
1967-10-01,98.20232
1967-11-01,98.29834
1967-12-01,98.38985
1968-01-01,98.49194
1968-02-01,98.63710
1968-03-01,98.82686
1968-04-01,99.05096
1968-05-01,99.29708
1968-06-01,99.61150
1968-07-01,99.95132
1968-08-01,100.27160
1968-09-01,100.56630
1968-10-01,100.86370
1968-11-01,101.13900
1968-12-01,101.35590
1969-01-01,101.48900
1969-02-01,101.60040
1969-03-01,101.74220
1969-04-01,101.91950
1969-05-01,102.07750
1969-06-01,102.16570
1969-07-01,102.16290
1969-08-01,102.07640
1969-09-01,101.90680
1969-10-01,101.72060
1969-11-01,101.53360
1969-12-01,101.35110
1970-01-01,101.15470
1970-02-01,100.92790
1970-03-01,100.68290
1970-04-01,100.42250
1970-05-01,100.16560
1970-06-01,99.92801
1970-07-01,99.74641
1970-08-01,99.66190
1970-09-01,99.68974
1970-10-01,99.81184
1970-11-01,99.99833
1970-12-01,100.19160
1971-01-01,100.33980
1971-02-01,100.43040
1971-03-01,100.45060
1971-04-01,100.40660
1971-05-01,100.32310
1971-06-01,100.23520
1971-07-01,100.15350
1971-08-01,100.05780
1971-09-01,99.95551
1971-10-01,99.86448
1971-11-01,99.82090
1971-12-01,99.83745
1972-01-01,99.92329
1972-02-01,100.07170
1972-03-01,100.26890
1972-04-01,100.51210
1972-05-01,100.79380
1972-06-01,101.08610
1972-07-01,101.37980
1972-08-01,101.66120
1972-09-01,101.91560
1972-10-01,102.12760
1972-11-01,102.28760
1972-12-01,102.41290
1973-01-01,102.52680
1973-02-01,102.60140
1973-03-01,102.67830
1973-04-01,102.74770
1973-05-01,102.79990
1973-06-01,102.82610
1973-07-01,102.80270
1973-08-01,102.70930
1973-09-01,102.55280
1973-10-01,102.32950
1973-11-01,102.03490
1973-12-01,101.69550
1974-01-01,101.34700
1974-02-01,100.98550
1974-03-01,100.61130
1974-04-01,100.21910
1974-05-01,99.78042
1974-06-01,99.26836
1974-07-01,98.69701
1974-08-01,98.10428
1974-09-01,97.54007
1974-10-01,97.06898
1974-11-01,96.75322
1974-12-01,96.58624
1975-01-01,96.52256
1975-02-01,96.53448
1975-03-01,96.59793
1975-04-01,96.72703
1975-05-01,96.94123
1975-06-01,97.26273
1975-07-01,97.69520
1975-08-01,98.23474
1975-09-01,98.85890
1975-10-01,99.51830
1975-11-01,100.13380
1975-12-01,100.64910
1976-01-01,101.03440
1976-02-01,101.28380
1976-03-01,101.43440
1976-04-01,101.50070
1976-05-01,101.47320
1976-06-01,101.35640
1976-07-01,101.16470
1976-08-01,100.92880
1976-09-01,100.69200
1976-10-01,100.46270
1976-11-01,100.25790
1976-12-01,100.07170
1977-01-01,99.87053
1977-02-01,99.62551
1977-03-01,99.35271
1977-04-01,99.10011
1977-05-01,98.93001
1977-06-01,98.87522
1977-07-01,98.91160
1977-08-01,99.00899
1977-09-01,99.14120
1977-10-01,99.29152
1977-11-01,99.44043
1977-12-01,99.60690
1978-01-01,99.82391
1978-02-01,100.12380
1978-03-01,100.46740
1978-04-01,100.79520
1978-05-01,101.07760
1978-06-01,101.30210
1978-07-01,101.49040
1978-08-01,101.64050
1978-09-01,101.74690
1978-10-01,101.78750
1978-11-01,101.75940
1978-12-01,101.65650
1979-01-01,101.50030
1979-02-01,101.33910
1979-03-01,101.19840
1979-04-01,101.10760
1979-05-01,101.08070
1979-06-01,101.10520
1979-07-01,101.14530
1979-08-01,101.17720
1979-09-01,101.18060
1979-10-01,101.15090
1979-11-01,101.09040
1979-12-01,100.99270
1980-01-01,100.85570
1980-02-01,100.67590
1980-03-01,100.45950
1980-04-01,100.22190
1980-05-01,99.97954
1980-06-01,99.78791
1980-07-01,99.67514
1980-08-01,99.62571
1980-09-01,99.62061
1980-10-01,99.64184
1980-11-01,99.66637
1980-12-01,99.68608
1981-01-01,99.69659
1981-02-01,99.71786
1981-03-01,99.75394
1981-04-01,99.79580
1981-05-01,99.83617
1981-06-01,99.88158
1981-07-01,99.94845
1981-08-01,100.04630
1981-09-01,100.16130
1981-10-01,100.29130
1981-11-01,100.44450
1981-12-01,100.62530
1982-01-01,100.80450
1982-02-01,100.91910
1982-03-01,100.94110
1982-04-01,100.86870
1982-05-01,100.73860
1982-06-01,100.57930
1982-07-01,100.42140
1982-08-01,100.30350
1982-09-01,100.23420
1982-10-01,100.20250
1982-11-01,100.18830
1982-12-01,100.14800
1983-01-01,100.06880
1983-02-01,99.94511
1983-03-01,99.78501
1983-04-01,99.61152
1983-05-01,99.45630
1983-06-01,99.34671
1983-07-01,99.29494
1983-08-01,99.29110
1983-09-01,99.31071
1983-10-01,99.32193
1983-11-01,99.30945
1983-12-01,99.25909
1984-01-01,99.18690
1984-02-01,99.12301
1984-03-01,99.07659
1984-04-01,99.03173
1984-05-01,98.97579
1984-06-01,98.91547
1984-07-01,98.85617
1984-08-01,98.80817
1984-09-01,98.74903
1984-10-01,98.70458
1984-11-01,98.70905
1984-12-01,98.77827
1985-01-01,98.89787
1985-02-01,99.05464
1985-03-01,99.17946
1985-04-01,99.25813
1985-05-01,99.28065
1985-06-01,99.24492
1985-07-01,99.18026
1985-08-01,99.14683
1985-09-01,99.18326
1985-10-01,99.29670
1985-11-01,99.46171
1985-12-01,99.65342
1986-01-01,99.86109
1986-02-01,100.05580
1986-03-01,100.20730
1986-04-01,100.29020
1986-05-01,100.30920
1986-06-01,100.29320
1986-07-01,100.27350
1986-08-01,100.25050
1986-09-01,100.21170
1986-10-01,100.16570
1986-11-01,100.13030
1986-12-01,100.11710
1987-01-01,100.12580
1987-02-01,100.16370
1987-03-01,100.21060
1987-04-01,100.23670
1987-05-01,100.22620
1987-06-01,100.20310
1987-07-01,100.18810
1987-08-01,100.17710
1987-09-01,100.17110
1987-10-01,100.18270
1987-11-01,100.20540
1987-12-01,100.23640
1988-01-01,100.27610
1988-02-01,100.33420
1988-03-01,100.42650
1988-04-01,100.55520
1988-05-01,100.72270
1988-06-01,100.93110
1988-07-01,101.19040
1988-08-01,101.46390
1988-09-01,101.73510
1988-10-01,101.98290
1988-11-01,102.17380
1988-12-01,102.28870
1989-01-01,102.31080
1989-02-01,102.25800
1989-03-01,102.16590
1989-04-01,102.06920
1989-05-01,101.98830
1989-06-01,101.94200
1989-07-01,101.92370
1989-08-01,101.91640
1989-09-01,101.91030
1989-10-01,101.90290
1989-11-01,101.89710
1989-12-01,101.88330
1990-01-01,101.86150
1990-02-01,101.80220
1990-03-01,101.71770
1990-04-01,101.59510
1990-05-01,101.43590
1990-06-01,101.22440
1990-07-01,100.95540
1990-08-01,100.64130
1990-09-01,100.31810
1990-10-01,100.04270
1990-11-01,99.84301
1990-12-01,99.72604
1991-01-01,99.67576
1991-02-01,99.67921
1991-03-01,99.71413
1991-04-01,99.74548
1991-05-01,99.76038
1991-06-01,99.75217
1991-07-01,99.71888
1991-08-01,99.66858
1991-09-01,99.60728
1991-10-01,99.53838
1991-11-01,99.49443
1991-12-01,99.48013
1992-01-01,99.49749
1992-02-01,99.53158
1992-03-01,99.55034
1992-04-01,99.54531
1992-05-01,99.51086
1992-06-01,99.42245
1992-07-01,99.27576
1992-08-01,99.07654
1992-09-01,98.83121
1992-10-01,98.54798
1992-11-01,98.24805
1992-12-01,97.95987
1993-01-01,97.72237
1993-02-01,97.57249
1993-03-01,97.49912
1993-04-01,97.48324
1993-05-01,97.51682
1993-06-01,97.60239
1993-07-01,97.74979
1993-08-01,97.96343
1993-09-01,98.23460
1993-10-01,98.54829
1993-11-01,98.89303
1993-12-01,99.26463
1994-01-01,99.64761
1994-02-01,100.02200
1994-03-01,100.37220
1994-04-01,100.66930
1994-05-01,100.89390
1994-06-01,101.05990
1994-07-01,101.19220
1994-08-01,101.30240
1994-09-01,101.38400
1994-10-01,101.42730
1994-11-01,101.42480
1994-12-01,101.37120
1995-01-01,101.26670
1995-02-01,101.12220
1995-03-01,100.95000
1995-04-01,100.75020
1995-05-01,100.50560
1995-06-01,100.20830
1995-07-01,99.88011
1995-08-01,99.55375
1995-09-01,99.24983
1995-10-01,99.00480
1995-11-01,98.84232
1995-12-01,98.76678
1996-01-01,98.76955
1996-02-01,98.80032
1996-03-01,98.82539
1996-04-01,98.82938
1996-05-01,98.80972
1996-06-01,98.76780
1996-07-01,98.69816
1996-08-01,98.61606
1996-09-01,98.51357
1996-10-01,98.40977
1996-11-01,98.32944
1996-12-01,98.31436
1997-01-01,98.36884
1997-02-01,98.48852
1997-03-01,98.63736
1997-04-01,98.79582
1997-05-01,98.96432
1997-06-01,99.14016
1997-07-01,99.30228
1997-08-01,99.44608
1997-09-01,99.56836
1997-10-01,99.66636
1997-11-01,99.75603
1997-12-01,99.85616
1998-01-01,99.97267
1998-02-01,100.11860
1998-03-01,100.28460
1998-04-01,100.43960
1998-05-01,100.56630
1998-06-01,100.63780
1998-07-01,100.63940
1998-08-01,100.57050
1998-09-01,100.43910
1998-10-01,100.26030
1998-11-01,100.09400
1998-12-01,99.96529
1999-01-01,99.88568
1999-02-01,99.85310
1999-03-01,99.88151
1999-04-01,99.99409
1999-05-01,100.18090
1999-06-01,100.43150
1999-07-01,100.72470
1999-08-01,101.01090
1999-09-01,101.26380
1999-10-01,101.48410
1999-11-01,101.67540
1999-12-01,101.84060
2000-01-01,101.99440
2000-02-01,102.14280
2000-03-01,102.27570
2000-04-01,102.37840
2000-05-01,102.44700
2000-06-01,102.48480
2000-07-01,102.48710
2000-08-01,102.45880
2000-09-01,102.40890
2000-10-01,102.33220
2000-11-01,102.22180
2000-12-01,102.07490
2001-01-01,101.89170
2001-02-01,101.66860
2001-03-01,101.40730
2001-04-01,101.11830
2001-05-01,100.80210
2001-06-01,100.45950
2001-07-01,100.10240
2001-08-01,99.76431
2001-09-01,99.48381
2001-10-01,99.30267
2001-11-01,99.23282
2001-12-01,99.26069
2002-01-01,99.33879
2002-02-01,99.42332
2002-03-01,99.48695
2002-04-01,99.49975
2002-05-01,99.44543
2002-06-01,99.32203
2002-07-01,99.16180
2002-08-01,98.98672
2002-09-01,98.81241
2002-10-01,98.66130
2002-11-01,98.52446
2002-12-01,98.37572
2003-01-01,98.20181
2003-02-01,98.02094
2003-03-01,97.87469
2003-04-01,97.80147
2003-05-01,97.80384
2003-06-01,97.87203
2003-07-01,97.99287
2003-08-01,98.14420
2003-09-01,98.31763
2003-10-01,98.50843
2003-11-01,98.70752
2003-12-01,98.89060
2004-01-01,99.04788
2004-02-01,99.17866
2004-03-01,99.28964
2004-04-01,99.38377
2004-05-01,99.47097
2004-06-01,99.55123
2004-07-01,99.62809
2004-08-01,99.69991
2004-09-01,99.76768
2004-10-01,99.82455
2004-11-01,99.86348
2004-12-01,99.87386
2005-01-01,99.85359
2005-02-01,99.81282
2005-03-01,99.76369
2005-04-01,99.72179
2005-05-01,99.71066
2005-06-01,99.74112
2005-07-01,99.80403
2005-08-01,99.89658
2005-09-01,100.00970
2005-10-01,100.14400
2005-11-01,100.31490
2005-12-01,100.50310
2006-01-01,100.67890
2006-02-01,100.82380
2006-03-01,100.92640
2006-04-01,100.99660
2006-05-01,101.04000
2006-06-01,101.08460
2006-07-01,101.15100
2006-08-01,101.24980
2006-09-01,101.37550
2006-10-01,101.52920
2006-11-01,101.69320
2006-12-01,101.85450
2007-01-01,102.00460
2007-02-01,102.13170
2007-03-01,102.23650
2007-04-01,102.32870
2007-05-01,102.40160
2007-06-01,102.43650
2007-07-01,102.41780
2007-08-01,102.34020
2007-09-01,102.21930
2007-10-01,102.06620
2007-11-01,101.87860
2007-12-01,101.65780
2008-01-01,101.39300
2008-02-01,101.10610
2008-03-01,100.79630
2008-04-01,100.45640
2008-05-01,100.06850
2008-06-01,99.62912
2008-07-01,99.14207
2008-08-01,98.61227
2008-09-01,98.04388
2008-10-01,97.46957
2008-11-01,96.95962
2008-12-01,96.57092
2009-01-01,96.35175
2009-02-01,96.31477
2009-03-01,96.46400
2009-04-01,96.77341
2009-05-01,97.17866
2009-06-01,97.62185
2009-07-01,98.08488
2009-08-01,98.55957
2009-09-01,99.02312
2009-10-01,99.42312
2009-11-01,99.71751
2009-12-01,99.88425
2010-01-01,99.95030
2010-02-01,99.95544
2010-03-01,99.94319
2010-04-01,99.93842
2010-05-01,99.96823
2010-06-01,100.06130
2010-07-01,100.23490
2010-08-01,100.47650
2010-09-01,100.76000
2010-10-01,101.05240
2010-11-01,101.32290
2010-12-01,101.53970
