observation_date,GBRLOLITONOSTSAM
1957-12-01,98.23219
1958-01-01,98.26820
1958-02-01,98.36013
1958-03-01,98.47646
1958-04-01,98.58904
1958-05-01,98.71684
1958-06-01,98.87981
1958-07-01,99.10110
1958-08-01,99.36304
1958-09-01,99.63161
1958-10-01,99.88158
1958-11-01,100.07470
1958-12-01,100.15100
1959-01-01,100.11060
1959-02-01,100.00680
1959-03-01,99.89798
1959-04-01,99.81816
1959-05-01,99.76101
1959-06-01,99.79094
1959-07-01,99.96909
1959-08-01,100.36020
1959-09-01,100.98850
1959-10-01,101.72650
1959-11-01,102.37960
1959-12-01,102.79010
1960-01-01,102.85130
1960-02-01,102.61370
1960-03-01,102.23330
1960-04-01,101.81940
1960-05-01,101.44600
1960-06-01,101.14650
1960-07-01,100.92950
1960-08-01,100.78080
1960-09-01,100.67780
1960-10-01,100.58930
1960-11-01,100.51840
1960-12-01,100.49760
1961-01-01,100.51480
1961-02-01,100.53460
1961-03-01,100.48430
1961-04-01,100.31180
1961-05-01,100.01130
1961-06-01,99.59888
1961-07-01,99.09071
1961-08-01,98.55351
1961-09-01,98.10473
1961-10-01,97.81025
1961-11-01,97.68512
1961-12-01,97.67723
1962-01-01,97.73220
1962-02-01,97.83082
1962-03-01,97.96030
1962-04-01,98.11152
1962-05-01,98.23871
1962-06-01,98.33456
1962-07-01,98.44806
1962-08-01,98.60104
1962-09-01,98.76939
1962-10-01,98.93938
1962-11-01,99.09834
1962-12-01,99.23949
1963-01-01,99.37636
1963-02-01,99.55299
1963-03-01,99.77438
1963-04-01,100.01370
1963-05-01,100.24520
1963-06-01,100.46590
1963-07-01,100.70900
1963-08-01,100.96480
1963-09-01,101.20290
1963-10-01,101.38390
1963-11-01,101.47370
1963-12-01,101.48430
1964-01-01,101.43300
1964-02-01,101.34900
1964-03-01,101.27570
1964-04-01,101.25450
1964-05-01,101.28670
1964-06-01,101.36940
1964-07-01,101.45640
1964-08-01,101.50430
1964-09-01,101.45730
1964-10-01,101.27610
1964-11-01,100.97990
1964-12-01,100.61540
1965-01-01,100.26160
1965-02-01,99.93857
1965-03-01,99.62969
1965-04-01,99.34524
1965-05-01,99.13796
1965-06-01,99.02319
1965-07-01,98.99324
1965-08-01,99.04749
1965-09-01,99.18454
1965-10-01,99.39368
1965-11-01,99.64491
1965-12-01,99.92240
1966-01-01,100.18790
1966-02-01,100.39190
1966-03-01,100.48420
1966-04-01,100.39310
1966-05-01,100.05020
1966-06-01,99.47427
1966-07-01,98.74692
1966-08-01,97.98667
1966-09-01,97.36615
1966-10-01,96.95871
1966-11-01,96.78846
1966-12-01,96.84586
1967-01-01,97.08331
1967-02-01,97.41798
1967-03-01,97.82809
1967-04-01,98.30446
1967-05-01,98.80226
1967-06-01,99.28125
1967-07-01,99.70324
1967-08-01,100.06830
1967-09-01,100.37510
1967-10-01,100.59150
1967-11-01,100.69430
1967-12-01,100.67720
1968-01-01,100.57660
1968-02-01,100.42330
1968-03-01,100.24400
1968-04-01,100.10600
1968-05-01,100.09540
