observation_date,USALOLITONOSTSAM
1955-01-01,101.30090
1955-02-01,101.62100
1955-03-01,101.88620
1955-04-01,102.07310
1955-05-01,102.18140
1955-06-01,102.21770
1955-07-01,102.22030
1955-08-01,102.20760
1955-09-01,102.18450
1955-10-01,102.13640
1955-11-01,102.03270
1955-12-01,101.85150
1956-01-01,101.58680
1956-02-01,101.27970
1956-03-01,100.97920
1956-04-01,100.69900
1956-05-01,100.45640
1956-06-01,100.29000
1956-07-01,100.23040
1956-08-01,100.27860
1956-09-01,100.38550
1956-10-01,100.49840
1956-11-01,100.57320
1956-12-01,100.56700
1957-01-01,100.46250
1957-02-01,100.29970
1957-03-01,100.08270
1957-04-01,99.84571
1957-05-01,99.61492
1957-06-01,99.36835
1957-07-01,99.07580
1957-08-01,98.71835
1957-09-01,98.29863
1957-10-01,97.85729
1957-11-01,97.45750
1957-12-01,97.14787
1958-01-01,96.98372
1958-02-01,96.99688
1958-03-01,97.18298
1958-04-01,97.51980
1958-05-01,97.99331
1958-06-01,98.55898
1958-07-01,99.15711
1958-08-01,99.74895
1958-09-01,100.31710
1958-10-01,100.86220
1958-11-01,101.37310
1958-12-01,101.83900
1959-01-01,102.25980
1959-02-01,102.59550
1959-03-01,102.80830
1959-04-01,102.87560
1959-05-01,102.79040
1959-06-01,102.56260
1959-07-01,102.23100
1959-08-01,101.86340
1959-09-01,101.52430
1959-10-01,101.25140
1959-11-01,101.05100
1959-12-01,100.89330
1960-01-01,100.69130
1960-02-01,100.41650
1960-03-01,100.11210
1960-04-01,99.82441
1960-05-01,99.57291
1960-06-01,99.35302
1960-07-01,99.14601
1960-08-01,98.94968
1960-09-01,98.75539
1960-10-01,98.58868
1960-11-01,98.47930
1960-12-01,98.45916
1961-01-01,98.54543
1961-02-01,98.75620
1961-03-01,99.07895
1961-04-01,99.46701
1961-05-01,99.86288
1961-06-01,100.23110
1961-07-01,100.54810
1961-08-01,100.80710
1961-09-01,100.99600
1961-10-01,101.11280
1961-11-01,101.16280
1961-12-01,101.13420
1962-01-01,101.02000
1962-02-01,100.83700
1962-03-01,100.58740
1962-04-01,100.29450
1962-05-01,99.99861
1962-06-01,99.74097
1962-07-01,99.56329
1962-08-01,99.47347
1962-09-01,99.46961
1962-10-01,99.53916
1962-11-01,99.66577
1962-12-01,99.81844
1963-01-01,99.96941
1963-02-01,100.10030
1963-03-01,100.20360
1963-04-01,100.27570
1963-05-01,100.30290
1963-06-01,100.28500
1963-07-01,100.24160
1963-08-01,100.19680
1963-09-01,100.17230
1963-10-01,100.16430
1963-11-01,100.16830
1963-12-01,100.19670
1964-01-01,100.25980
1964-02-01,100.33700
1964-03-01,100.42250
1964-04-01,100.50710
1964-05-01,100.58440
1964-06-01,100.65390
1964-07-01,100.71160
1964-08-01,100.75020
1964-09-01,100.78870
1964-10-01,100.83240
1964-11-01,100.89630
1964-12-01,100.97260
1965-01-01,101.04010
1965-02-01,101.08020
1965-03-01,101.08170
1965-04-01,101.04160
1965-05-01,100.97660
1965-06-01,100.91640
1965-07-01,100.89490
1965-08-01,100.92970
1965-09-01,101.02710
1965-10-01,101.17650
1965-11-01,101.35370
1965-12-01,101.52360
1966-01-01,101.64410
1966-02-01,101.67320
1966-03-01,101.58780
1966-04-01,101.39030
1966-05-01,101.10330
1966-06-01,100.78200
1966-07-01,100.45330
1966-08-01,100.13480
1966-09-01,99.83085
1966-10-01,99.53641
1966-11-01,99.26323
1966-12-01,99.02983
1967-01-01,98.85872
1967-02-01,98.76607
1967-03-01,98.77964
1967-04-01,98.90298
1967-05-01,99.12391
1967-06-01,99.40025
1967-07-01,99.69651
1967-08-01,99.98224
1967-09-01,100.22840
1967-10-01,100.42440
1967-11-01,100.56620
1967-12-01,100.65520
1968-01-01,100.68810
1968-02-01,100.69230
1968-03-01,100.68640
1968-04-01,100.68060
1968-05-01,100.68190
1968-06-01,100.70340
1968-07-01,100.75750
1968-08-01,100.85500
1968-09-01,100.99570
1968-10-01,101.13590
1968-11-01,101.22400
1968-12-01,101.24170
1969-01-01,101.19350
1969-02-01,101.08670
1969-03-01,100.93020
1969-04-01,100.72490
1969-05-01,100.47570
1969-06-01,100.22320
1969-07-01,99.99941
1969-08-01,99.81284
1969-09-01,99.64270
1969-10-01,99.45759
1969-11-01,99.23992
1969-12-01,98.98592
1970-01-01,98.70324
1970-02-01,98.42298
1970-03-01,98.17242
1970-04-01,97.97534
1970-05-01,97.85788
1970-06-01,97.81253
1970-07-01,97.81306
1970-08-01,97.85154
1970-09-01,97.94428
1970-10-01,98.12047
1970-11-01,98.41434
1970-12-01,98.81816
1971-01-01,99.25796
1971-02-01,99.65057
1971-03-01,99.94370
1971-04-01,100.13420
1971-05-01,100.23170
1971-06-01,100.26550
1971-07-01,100.27260
1971-08-01,100.29300
1971-09-01,100.36830
1971-10-01,100.52880
1971-11-01,100.78660
1971-12-01,101.12480
1972-01-01,101.47900
1972-02-01,101.79540
1972-03-01,102.04310
1972-04-01,102.22570
1972-05-01,102.36570
1972-06-01,102.48930
1972-07-01,102.62920
1972-08-01,102.80670
1972-09-01,103.00280
1972-10-01,103.18650
1972-11-01,103.33310
1972-12-01,103.41090
1973-01-01,103.39830
1973-02-01,103.28610
1973-03-01,103.07140
1973-04-01,102.77030
1973-05-01,102.41720
1973-06-01,102.05500
1973-07-01,101.71790
1973-08-01,101.42660
1973-09-01,101.19450
1973-10-01,101.00660
1973-11-01,100.82210
1973-12-01,100.62520
1974-01-01,100.42480
1974-02-01,100.19710
1974-03-01,99.92331
1974-04-01,99.58797
1974-05-01,99.19759
1974-06-01,98.76356
1974-07-01,98.29788
1974-08-01,97.80349
1974-09-01,97.29028
1974-10-01,96.80699
1974-11-01,96.39722
1974-12-01,96.12173
1975-01-01,96.03522
1975-02-01,96.12878
1975-03-01,96.37400
1975-04-01,96.74030
1975-05-01,97.17007
1975-06-01,97.62247
1975-07-01,98.06983
1975-08-01,98.48931
1975-09-01,98.87870
1975-10-01,99.24828
1975-11-01,99.60960
1975-12-01,99.96946
1976-01-01,100.31340
1976-02-01,100.60300
1976-03-01,100.80900
1976-04-01,100.93240
1976-05-01,100.98540
1976-06-01,100.99240
1976-07-01,100.97480
1976-08-01,100.94740
1976-09-01,100.93620
1976-10-01,100.96240
1976-11-01,101.04770
1976-12-01,101.18620
1977-01-01,101.35070
1977-02-01,101.51980
1977-03-01,101.66860
1977-04-01,101.76790
1977-05-01,101.81130
1977-06-01,101.79910
1977-07-01,101.74220
1977-08-01,101.65960
1977-09-01,101.57610
1977-10-01,101.50610
1977-11-01,101.45080
1977-12-01,101.41550
1978-01-01,101.41070
1978-02-01,101.44650
1978-03-01,101.55220
1978-04-01,101.70130
1978-05-01,101.85210
1978-06-01,101.96610
1978-07-01,102.02170
1978-08-01,102.01040
1978-09-01,101.93430
1978-10-01,101.79970
1978-11-01,101.62610
1978-12-01,101.44610
1979-01-01,101.28660
1979-02-01,101.13170
1979-03-01,100.95350
