annee,trim,spread_brut,recession,var_petrole,var_cli,rate_dir,var_etf,spread_filtre,spread_kalman,annee_trim
1992,1,-1.648333333,0,-13.19274568,-0.108163333,9.75,8.9452572782,-1.648333333,-1.704166667,1992Q1
1992,2,-1.704166667,0,12.25060527,-0.202763333,9.75,2.1299488524,-1.704166666,-1.780833333,1992Q2
1992,3,-1.780833333,1,2.1337930472,-0.316256667,9.6666666667,-16.23180109,-1.780833333,-1.595833333,1992Q3
1992,4,-1.595833333,1,-5.481367192,-0.24718,9.5,4.6487010645,-1.595833334,-1.431666666,1992Q4
1993,1,-1.431666667,1,-3.194693655,-0.02567,9.1666666667,8.996828408,-1.431666667,-0.905,1993Q1
1993,2,-0.905,0,-0.432681025,0.12873,8.5,1.4366360763,-0.905000002,-0.436666668,1993Q2
1993,3,-0.436666667,0,-9.819378977,0.2025066667,7.5833333333,12.305028434,-0.436666668,-0.420833331,1993Q3
1993,4,-0.420833333,0,-7.746620131,0.2485466667,6.75,18.063796617,-0.420833333,0.2183333353,1993Q4
1994,1,0.2183333333,0,-9.736959085,0.37851,6.75,-4.984288242,0.2183333313,1.4876269821,1994Q1
1994,2,1.487626984,0,20.26957583,0.37541,6.1666666667,-5.694668572,1.48762698,2.1537367441,1994Q2
1994,3,2.153736746,0,3.5968836513,0.2416,6,-0.917926961,2.1537367439,2.2212936508,1994Q3
1994,4,2.2212936507,0,-4.500391128,0.0387666667,6,4.7550296467,2.2212936505,2.3224334646,1994Q4
1995,1,2.322433465,0,4.1962821809,-0.191233333,6,-8.716052248,2.3224334647,2.3112380951,1995Q1
1995,2,2.311238095,0,5.1897138318,-0.190166667,6,9.1059180855,2.311238095,2.3279020012,1995Q2
1995,3,2.3279020013,0,-7.606554147,-0.167966667,5.6666666667,5.3723230943,2.3279020013,2.313931041,1995Q3
1995,4,2.3139310397,0,1.4693541222,-0.19875,5.3333333333,2.6993472563,2.3139310397,2.7389321785,1995Q4
1996,1,2.7389321787,0,8.9850300107,-0.12874,5,10.1146182,2.7389321773,3.1239824546,1996Q1
1996,2,3.123982456,0,9.8742618407,0.0379566667,4.5,3.2574704469,3.1239824548,3.0725450143,1996Q2
1996,3,3.0725450153,0,2.9291090819,0.11419,4.5,3.3087740141,3.0725450155,2.7060533918,1996Q3
1996,4,2.7060533913,0,10.222035736,0.0913766667,4.5,8.4571991968,2.7060533925,2.49128469,1996Q4
1997,1,2.491284689,0,-7.235156847,0.0923666667,4.5,18.324554516,2.4912846897,2.6021669062,1997Q1
1997,2,2.6021669073,0,-12.79851817,0.0929333333,4.5,10.536318015,2.602166907,2.3664163363,1997Q2
1997,3,2.3664163373,0,-0.586685072,0.0732333333,4.5,10.300281006,2.3664163381,1.8006834137,1997Q3
1997,4,1.800683413,0,0.7705828989,0.0149666667,4.5,1.6705536292,1.8006834148,1.4669754695,1997Q4
1998,1,1.466975469,0,-20.14299817,-0.026533333,4.5,20.664967821,1.46697547,1.2817456133,1998Q1
1998,2,1.281745614,0,-8.111686495,-0.1007,4.5,14.607485961,1.2817456146,0.8803099317,1998Q2
1998,3,0.8803099317,0,-2.866336211,-0.18952,4.5,-24.1520192,0.8803099329,0.4895072171,1998Q3
1998,4,0.489507215,0,-9.075029846,-0.130756667,4.5,12.991905673,0.4895072162,0.7722101302,1998Q4
1999,1,0.772210129,0,1.8565500336,-0.010126667,2.15,-2.822287707,0.7722101281,1.4401642512,1999Q1
1999,2,1.440164251,0,34.013289404,0.1118633333,1.543956044,10.549260328,1.4401642489,2.165909093,1999Q2
1999,3,2.1659090967,0,23.022978966,0.19614,1.5,-4.251912061,2.1659090944,1.730202002,1999Q3
1999,4,1.730202,0,13.257895884,0.2096333333,1.8097826087,35.113975241,1.7302020014,1.9180634689,1999Q4
2000,1,1.9180634723,0,17.473281334,0.1673,2.1978021978,9.2158247376,1.9180634717,1.0020168047,2000Q1
2000,2,1.0020168033,0,0.0902531314,0.1275,2.7967032967,-9.22679535,1.0020168062,0.5090524308,2000Q2
2000,3,0.5090524307,0,9.3553698086,0.0129666667,3.3315217391,-1.450953861,0.5090524322,0.0596401469,2000Q3
2000,4,0.0596401457,0,1.3681055333,-0.178266667,3.7364130435,-5.361927233,0.0596401471,0.0044151316,2000Q4
2001,1,0.0044151303,0,-10.29059855,-0.365433333,3.75,-9.382907587,0.0044151305,0.3674865726,2001Q1
2001,2,0.367486573,0,-2.913996107,-0.376343333,3.6098901099,3.9182099306,0.3674865719,0.6164380122,2001Q2
2001,3,0.6164380113,0,-4.371823876,-0.227176667,3.3451086957,-28.88940632,0.6164380106,1.1509115141,2001Q3
2001,4,1.1509115143,0,-23.23116199,0.06179,2.4619565217,19.775314569,1.1509115127,1.618851523,2001Q4
2002,1,1.6188515243,1,5.5601801221,0.2089766667,2.25,4.5966151221,1.6188515229,1.6674747212,2002Q1
2002,2,1.6674747227,0,21.393101403,0.0257966667,2.25,-18.80073098,1.6674747225,1.2567076195,2002Q2
2002,3,1.256707618,0,7.7995703422,-0.147953333,2.25,-36.817066,1.2567076193,1.316877949,2002Q3
2002,4,1.316877949,0,-0.079595074,-0.103753333,2.1086956522,4.4636516111,1.3168779488,1.3620851969,2002Q4
2003,1,1.3620851967,1,20.300515334,0.0454666667,1.6805555556,-16.20531435,1.3620851965,1.4977246217,2003Q1
2003,2,1.4977246207,0,-14.8622359,0.1358133333,1.3626373626,32.869333851,1.4977246202,1.9520606765,2003Q2
2003,3,1.9520606773,0,4.283030242,0.2249466667,1,1.1240195957,1.9520606759,2.1388028257,2003Q3
2003,4,2.1388028267,0,3.1324106832,0.1385366667,1,21.750928108,2.1388028261,2.0018594482,2003Q4
2004,1,2.0018594473,0,13.395160658,0.0354666667,1,-2.735323753,2.0018594478,2.1385905678,2004Q1
2004,2,2.1385905687,0,8.4190713023,-0.000333333,1,5.0828436689,2.1385905682,1.9949090868,2004Q2
