annee,trim,spread_brut,recession,var_petrole,var_cli,rate_dir,var_etf,spread_filtre,spread_kalman,annee_trim
1992,1,-1.544566667,0,-13.19274568,0.0234033333,9.75,10.007366944,-1.544566667,-1.37233334,1992Q1
1992,2,-1.372333333,0,12.25060527,-0.04263,9.75,-2.151979423,-1.372333336,-1.652366675,1992Q2
1992,3,-1.652366667,0,2.1337930472,-0.19708,9.6666666667,-8.623593945,-1.652366662,-2.473166679,1992Q3
1992,4,-2.473166667,0,-5.481367192,-0.290446667,9.5,6.9730005793,-2.473166654,-4.113799926,1992Q4
1993,1,-4.1138,0,-3.194693655,-0.153583333,9.1666666667,9.344384273,-4.113799975,-0.897700056,1993Q1
1993,2,-0.8977,0,-0.432681025,0.0344233333,8.5,-2.929014438,-0.897700049,-1.362466651,1993Q2
1993,3,-1.362466667,0,-9.819378977,0.2107366667,7.5833333333,7.2366789125,-1.36246666,-0.802133334,1993Q3
1993,4,-0.802133333,0,-7.746620131,0.3433433333,6.75,7.2637778503,-0.802133342,-0.282799983,1993Q4
1994,1,-0.2828,0,-9.736959085,0.36919,6.75,-8.213563744,-0.282800008,1.3146666541,1994Q1
1994,2,1.3146666667,0,20.26957583,0.2292333333,6.1666666667,-9.121471312,1.3146666422,2.0920333259,1994Q2
1994,3,2.0920333333,0,3.5968836513,0.1080333333,6,-0.671244777,2.0920333214,2.3814666485,1994Q3
1994,4,2.3814666667,0,-4.500391128,-0.004266667,6,0.1010962749,2.3814666622,1.4874333259,1994Q4
1995,1,1.4874333333,0,4.1962821809,-0.1404,6,-1.153516465,1.487433347,0.1100000386,1995Q1
1995,2,0.11,0,5.1897138318,-0.247233333,6,-0.037641902,0.1100000211,1.2550999781,1995Q2
1995,3,1.2551,0,-7.606554147,-0.31949,5.6666666667,-3.787390928,1.2550999825,0.9735333552,1995Q3
1995,4,0.9735333333,0,1.4693541222,-0.161016667,5.3333333333,4.6745680186,0.9735333376,2.1176333225,1995Q4
1996,1,2.1176333333,0,8.9850300107,0.0195366667,5,9.2307718391,2.1176333158,2.5558333265,1996Q1
