annee,trim,spread_brut,recession,var_petrole,var_cli,rate_dir,var_etf,spread_filtre,spread_kalman,annee_trim
1992,1,-1.12283,0,-13.19274568,0.0069,9.75,-2.125867311,-1.12283,-1.081536666,1992Q1
1992,2,-1.081536667,1,12.25060527,-0.089433333,9.75,3.3236281411,-1.081536667,-1.020646633,1992Q2
1992,3,-1.020646667,0,2.1337930472,-0.187563333,9.6666666667,1.261306102,-1.020646668,0.7560333143,1992Q3
1992,4,0.7560333333,0,-5.481367192,0.0534733333,9.5,11.496278888,0.7560332981,1.5711933255,1992Q4
1993,1,1.5711933333,0,-3.194693655,0.13809,9.1666666667,1.1312120559,1.5711933172,1.9934133104,1993Q1
1993,2,1.9934133333,0,-0.432681025,0.1204333333,8.5,0.7399190325,1.993413325,1.2575066784,1993Q2
1993,3,1.2575066667,0,-9.819378977,0.0897,7.5833333333,4.7413793103,1.2575066813,1.113756678,1993Q3
1993,4,1.1137566667,0,-7.746620131,-0.001233333,6.75,12.53991448,1.1137566695,1.5397633547,1993Q4
1994,1,1.5397633333,0,-9.736959085,-0.094633333,6.75,-9.712146311,1.5397633249,3.0427199724,1994Q1
1994,2,3.04272,0,20.26957583,-0.075666667,6.1666666667,-5.41731326,3.0427199702,3.1564566512,1994Q2
1994,3,3.1564566667,0,3.5968836513,-0.022466667,6,3.6688167802,3.1564566644,2.490096669,1994Q3
1994,4,2.4900966667,0,-4.500391128,-0.05182,6,1.2953094716,2.4900966799,1.9390566689,1994Q4
1995,1,1.9390566667,0,4.1962821809,-0.03952,6,2.3617648783,1.9390566776,1.5001233373,1995Q1
1995,2,1.5001233333,0,5.1897138318,0.02648,6,5.6311609934,1.500123342,1.2596233348,1995Q2
1995,3,1.2596233333,0,-7.606554147,0.02219,5.6666666667,5.8408208475,1.2596233381,1.0919800109,1995Q3
1995,4,1.09198,0,1.4693541222,-0.00995,5.3333333333,5.1621942927,1.0919800033,1.4756666699,1995Q4
1996,1,1.4756666667,0,8.9850300107,0.01091,5,0.2818936439,1.4756666591,2.0218333223,1996Q1
1996,2,2.0218333333,0,9.8742618407,-0.003213333,4.5,0.3054314938,2.0218333225,2.0104699859,1996Q2
