annee,trim,spread_brut,recession,var_petrole,var_cli,rate_dir,var_etf,spread_filtre,spread_kalman,annee_trim
1992,1,3.3048387097,0,-13.19274568,0.10322,4.0233333333,-3.212734425,3.3048387097,3.6079365043,1992Q1
1992,2,3.6079365079,0,12.25060527,0.08394,3.77,1.1023340138,3.6079365055,3.4676562522,1992Q2
1992,3,3.46765625,0,2.1337930472,0.0038666667,3.2566666667,2.3668282447,3.4676562511,3.5966128992,1992Q3
1992,4,3.5966129032,0,-5.481367192,0.1137433333,3.0366666667,4.2867410688,3.5966129022,3.2329508204,1992Q4
1993,1,3.2329508197,0,-3.194693655,-0.0131,3.04,3.6629919638,3.2329508226,2.9528571418,1993Q1
1993,2,2.9528571429,0,-0.432681025,-0.126463333,3,-0.252399897,2.9528571451,2.5450000028,1993Q2
1993,3,2.545,0,-9.819378977,0.0138633333,3.06,1.8644693848,2.5450000033,2.4830645189,1993Q3
1993,4,2.4830645161,0,-7.746620131,0.2048,2.99,1.6385984031,2.4830645166,2.7554838706,1993Q4
1994,1,2.755483871,0,-9.736959085,0.1782333333,3.2133333333,-4.433491832,2.7554838687,2.9777419316,1994Q1
1994,2,2.9777419355,0,20.26957583,0.0405333333,3.94,-0.336496408,2.9777419337,2.7189062495,1994Q2
1994,3,2.71890625,0,3.5968836513,-0.046366667,4.4866666667,4.1506297741,2.7189062521,2.3932786843,1994Q3
1994,4,2.3932786885,0,-4.500391128,-0.126033333,5.1666666667,-0.74344676,2.3932786912,1.5548387106,1994Q4
1995,1,1.5548387097,0,4.1962821809,-0.274963333,5.81,9.0230155318,1.5548387165,0.8282539739,1995Q1
1995,2,0.8282539683,0,5.1897138318,-0.22309,6.02,8.7955122319,0.8282539742,0.7966666643,1995Q2
1995,3,0.7966666667,0,-7.606554147,-0.063186667,5.7966666667,7.2803989251,0.7966666669,0.477741941,1995Q3
1995,4,0.4777419355,0,1.4693541222,-0.01436,5.72,5.3934773498,0.4777419381,0.8379032287,1995Q4
1996,1,0.8379032258,0,8.9850300107,0.1073,5.3633333333,4.800871475,0.8379032229,1.5587499939,1996Q1
1996,2,1.55875,0,9.8742618407,0.14329,5.2433333333,3.8931068757,1.5587499941,1.5342187478,1996Q2
1996,3,1.53421875,0,2.9291090819,0.0718766667,5.3066666667,2.4901975882,1.5342187502,1.244838713,1996Q3
1996,4,1.2448387097,0,10.222035736,0.0727533333,5.28,7.7706446418,1.244838712,1.3691666668,1996Q4
