pays,modele,maxiter,auc_is,auc_oos,delta_auc
France,Enrichi,3,,,
France,Enrichi,5,,,
France,Enrichi,8,,,
France,Enrichi,10,,,
France,Enrichi,15,,,
France,Enrichi,20,,,
France,Enrichi,30,,,
France,Enrichi,50,,,
France,Simple,3,,,
France,Simple,5,,,
France,Simple,8,,,
France,Simple,10,,,
France,Simple,15,,,
France,Simple,20,,,
France,Simple,30,,,
France,Simple,50,,,
Germany,Enrichi,3,,,
Germany,Enrichi,5,,,
Germany,Enrichi,8,,,
Germany,Enrichi,10,,,
Germany,Enrichi,15,,,
Germany,Enrichi,20,,,
Germany,Enrichi,30,,,
Germany,Enrichi,50,,,
Germany,Simple,3,,,
Germany,Simple,5,,,
Germany,Simple,8,,,
Germany,Simple,10,,,
Germany,Simple,15,,,
Germany,Simple,20,,,
Germany,Simple,30,,,
Germany,Simple,50,,,
UK,Enrichi,3,,,
UK,Enrichi,5,,,
UK,Enrichi,8,,,
UK,Enrichi,10,,,
UK,Enrichi,15,,,
UK,Enrichi,20,,,
UK,Enrichi,30,,,
UK,Enrichi,50,,,
UK,Simple,3,,,
UK,Simple,5,,,
UK,Simple,8,,,
UK,Simple,10,,,
UK,Simple,15,,,
UK,Simple,20,,,
UK,Simple,30,,,
UK,Simple,50,,,
US,Enrichi,3,,,
US,Enrichi,5,,,
US,Enrichi,8,,,
US,Enrichi,10,,,
US,Enrichi,15,,,
US,Enrichi,20,,,
US,Enrichi,30,,,
US,Enrichi,50,,,
US,Simple,3,,,
US,Simple,5,,,
US,Simple,8,,,
US,Simple,10,,,
US,Simple,15,,,
US,Simple,20,,,
US,Simple,30,,,
US,Simple,50,,,
